Vowel,F1,F2,F3
okaler1.wav, 232.49251526064543, 2398.268130052172, 3071.3088047540855 ,
okaler2.wav, 374.35233512402766, 2071.299035542796, 2495.719224865188 ,
okaler3.wav, 541.4531052188288, 1807.077300458448, 2423.945435015379 ,
okaler4.wav, 766.4105265871123, 1373.837589460777, 2671.4893385192695 ,
okaler5.wav, 642.3951864960651, 880.4845489966037, 2634.978882392951 ,
okaler6.wav, 447.5441758195935, 830.5092506562999, 2832.9818854856308 ,
okaler7.wav, 374.35104039054215, 742.2710320840324, 2817.733388108638 ,
okaler8.wav, 280.15453417969024, 610.6730027894921, 2891.9912093505022 ,
